model,config_id,params,fold,n_train,n_val,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_3,recall_class_3,f1_class_3,support_class_3
LogisticRegression,1,"{'C': 1.0, 'class_weight': 'balanced'}",4,6095,1556,1.0117162000387907,0.0016766999615356326,0.8766066838046273,0.7840529922660888,0.759142520002649,0.7840529922660888,0.7443210134857873,0.8887499376505438,0.6757698744407286,0.987146529562982,0.9056603773584906,0.9446494464944649,1272,0.46885245901639344,0.8666666666666667,0.6085106382978723,165,0.8214285714285714,0.5798319327731093,0.6798029556650246,119
LogisticRegression,1,"{'C': 1.0, 'class_weight': 'balanced'}",5,6100,1551,0.9969385999720544,0.0016936000902205706,0.8974854932301741,0.8111883518438221,0.7777509910632654,0.8111883518438221,0.7797276584884706,0.9044320068447371,0.7204682603145265,0.9847972972972973,0.9239302694136292,0.9533932951757972,1262,0.5595667870036101,0.8757062146892656,0.6828193832599119,177,0.7888888888888889,0.6339285714285714,0.7029702970297029,112
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",1,6115,1536,0.21349500003270805,0.0016675000078976154,0.9557291666666666,0.8373585107796507,0.8831125210615968,0.8373585107796507,0.8535540412972337,0.9538310975678445,0.8573668743859858,0.983451536643026,0.9944223107569721,0.9889064976228209,1255,0.8087431693989071,0.891566265060241,0.8481375358166189,166,0.8571428571428571,0.6260869565217392,0.7236180904522613,115
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",2,6148,1503,0.23818879993632436,0.0015952999237924814,0.9414504324683965,0.7741064670902852,0.8552398778070079,0.7741064670902852,0.7885011810366781,0.936888546578214,0.8115178578776767,0.9823434991974318,0.9959316517493898,0.9890909090909091,1229,0.702020202020202,0.8742138364779874,0.7787114845938375,159,0.8813559322033898,0.45217391304347826,0.5977011494252874,115
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",3,6146,1505,0.21774519991595298,0.0022951000137254596,0.9541528239202658,0.8238199042192886,0.8851736972704715,0.8238199042192886,0.840569806131581,0.95182815536352,0.853621916959338,0.9862903225806452,0.9951179820992677,0.9906844876468206,1229,0.7692307692307693,0.9036144578313253,0.8310249307479224,166,0.9,0.5727272727272728,0.7,110
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",4,6095,1556,0.2311801000032574,0.0016111000441014767,0.9383033419023136,0.7627217954077,0.8877592199835043,0.7627217954077,0.7976354485653686,0.9335833415759963,0.7959811053780921,0.9679878048780488,0.9984276729559748,0.9829721362229102,1272,0.7119565217391305,0.793939393939394,0.7507163323782235,165,0.9833333333333333,0.4957983193277311,0.659217877094972,119
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",5,6100,1551,0.21558840002398938,0.002210599952377379,0.935525467440361,0.7645572639864723,0.8977693238023033,0.7645572639864723,0.812564351123723,0.9304624690399084,0.78653910785007,0.9522365428354814,0.9952456418383518,0.9732661759008137,1262,0.8035714285714286,0.7627118644067796,0.782608695652174,177,0.9375,0.5357142857142857,0.6818181818181818,112
LogisticRegression,3,"{'C': 0.1, 'class_weight': 'balanced'}",1,6115,1536,0.4680046000285074,0.0028260000981390476,0.8984375,0.8071700625470877,0.7453696991672943,0.8071700625470877,0.7686865423046164,0.9057257075842085,0.7164191820745356,0.988155668358714,0.9306772908366534,0.9585556011489537,1255,0.5523012552301255,0.7951807228915663,0.6518518518518519,166,0.6956521739130435,0.6956521739130435,0.6956521739130435,115
LogisticRegression,3,"{'C': 0.1, 'class_weight': 'balanced'}",2,6148,1503,0.4531981999753043,0.0021135000279173255,0.872255489021956,0.7734166093181973,0.7436645636093089,0.7734166093181973,0.724588842231784,0.8851945035823269,0.6737068223556827,0.9946140035906643,0.9015459723352319,0.9457959880495092,1229,0.46006389776357826,0.9056603773584906,0.6101694915254238,159,0.7763157894736842,0.5130434782608696,0.6178010471204188,115
LogisticRegression,3,"{'C': 0.1, 'class_weight': 'balanced'}",3,6146,1505,0.4491829000180587,0.0020727000664919615,0.9049833887043189,0.8116198205054852,0.7698202667847074,0.8116198205054852,0.7765399862181512,0.9122195870823245,0.7393062846638347,0.9956634865568084,0.934092758340114,0.9638958858102435,1229,0.5555555555555556,0.8734939759036144,0.6791569086651054,166,0.7582417582417582,0.6272727272727273,0.6865671641791045,110
